outlet_name,outletcode,location_hierarchy,sub_channel,coordinate,latitude,longitude,address
SAI MEDICOS,PH049676,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4549394,77.1838033,"A-280A, Shop No. -1, Chattarpur Enclave, New Delhi"
Satyog medicos,PH109400,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6356045,77.0842283,Tilak Nagar
RADHIKA MEDICOS,PH106582,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4999492,77.1887693,122) 11ramcharn market
HEALTH GREEN MEDICOS,PH103336,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4938065,77.1841575,Main road chattarpur pur
Shri Khatu Shyam Pharmacy and,PH120463,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7482526,77.2012105,Shop no 1 kh no 104 B-Block 25
Priyansh pharmacy,PH111573,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7411643,77.2016848,Gali no-1 D Block harit vihar
Ishant Medicos,PH110732,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7395868,77.1998056,Kh no 136/19 Shop no 3 A-1 Block Sant
P.M.Jan Aushdhi kender,PH101126,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6942722,77.2912864,"B-2/70, Brij Puri"
Sangeeta medicos,PH120459,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7291697,77.2036976,Shop no-2 D-1 gali no-2 hardev nagar
Rahul medicos,PH127947,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7356688,77.207548,Shop no-2 kh no-16/23/1 block -b
