outlet_name,outletcode,location_hierarchy,sub_channel,coordinate,latitude,longitude,address,loginId
Ganga Medicos,PH118098,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7658349,77.1894778,H.no 701 Gali No 31 25 futa Road,DSR-GT-NCR-457
Gaytari Pet Clinic ( Dr. Basant Dubay )(ROA)-Silver,CL000423,Metro > ASE-SPT-NCR-East > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Clinic,[object Object],28.66918914,77.28726428,"E-480 NEW ASHOK NAGAR, OPP PUNEET APARTMENT, NEAR POLICE STATION, DELHI",DSR-SPT-NCR-530
Sargodha Pet Shop(ROA)-Platinum,PS001289,Metro > ASE-SPT-NCR-North-West 1 > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Petshop,[object Object],28.57866667,77.16501333,"Block D, North West Moti Bagh, New Delhi, Delhi 110021",FSA-SPT-HAR-014
JOSHI MEDICOS,PH109398,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.703599,77.1617578,Shop no 15 AL MARKET,DSR-NCR-031
Durga Medicos(ROA),PH005313,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6819757,77.0650372,Shop No. 1 Dharma Complex Opp.Metro Station N Angloi,DSR-GT-NCR-652
Jan seva chemist,PH107587,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.64640333,77.09667333,399 Chanda nagar,DSR-GT-DEL-783
Shree ram medicos,PH108654,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6722927,77.0676578,Kirari,DSR-GT-NCR-652
SHREE KRISHNA SUPER MART,DS022917,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Super Grocery,[object Object],28.7120594,77.1513954,SHOP NO 21 U&V MARKET,DSR-NCR-031
Shukla medicos,PH121213,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5937706,77.3104568,A-712new Ashok Nagar,DSR-GT-NCR-504
Dog And Cat Clinic NFC-Gold,CL002615,Metro > ASE-SPT-NCR-North-West 1 > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Petshop,[object Object],28.57061431,77.26689703,"134 A1, Taimoor Nagar, NFC, New Delhi, 110025",FSA-SPT-NCR-018
